Gene_name,Ciliary Gene,Ciliary TF interactions
HHIPL1,Unknown,YES
HINT1,Unknown,YES
HIP1,Unknown,YES
HIPK1,Unknown,YES
HMGN3,Unknown,YES
HNF4G,Unknown,YES
HNRNPH3,Unknown,YES
HOATZ,Unknown,YES
HOOK3,Unknown,YES
HS2ST1,Unknown,YES
HSBP1,Unknown,YES
HSP90B1,Unknown,YES
HSPA4L,Unknown,YES
HSPA12A,Unknown,YES
HSPB11,YES,YES
HSPH1,Unknown,YES
HTR4,Unknown,YES
HYDIN,YES,YES
HYI,Unknown,YES
HYLS1,YES,YES
IBTK,Unknown,YES
ICE2,Unknown,YES
IFFO2,Unknown,YES
IFT27,YES,YES
IFT43,YES,YES
IFT57,YES,YES
IFT74,YES,YES
IFT80,YES,YES
IFT81,YES,YES
IFT88,YES,YES
IFT122,YES,YES
IFT140,YES,YES
IFT172,YES,YES
IFTAP,YES,YES
IGF1R,YES,YES
IGF2BP2,Unknown,YES
IGSF11,Unknown,YES
IKZF2,Unknown,YES
IKZF4,Unknown,YES
IL1RAPL2,Unknown,YES
IL12B,Unknown,YES
INSIG2,Unknown,YES
INTU,YES,YES
IPCEF1,Unknown,YES
IQCA1,Unknown,YES
IQCE,YES,YES
IQCG,YES,YES
IQCH,Unknown,YES
IQCK,Unknown,YES
IQGAP1,Unknown,YES
IQUB,Unknown,YES
ITGAE,Unknown,YES
ITGB3BP,Unknown,YES
ITGB8,Unknown,YES
ITPR2,Unknown,YES
ITPRID2,Unknown,YES
ITSN2,Unknown,YES
JAG2,Unknown,YES
JAK1,Unknown,YES
JAZF1,YES,YES
JHY,YES,YES
JPH1,Unknown,YES
KALRN,Unknown,YES
KANSL1,Unknown,YES
KAT2B,Unknown,YES
KAT8,Unknown,YES
KATNAL2,YES,YES
KATNIP,YES,YES
KCNC1,Unknown,YES
KCNC2,Unknown,YES
KCNC4,Unknown,YES
KCNG3,Unknown,YES
KCNH6,Unknown,YES
KCNIP1,Unknown,YES
KCNJ1,Unknown,YES
KCNRG,Unknown,YES
KCNT2,Unknown,YES
KCTD8,Unknown,YES
KDM4C,Unknown,YES
KDM7A,Unknown,YES
KHDRBS2,Unknown,YES
KHDRBS3,Unknown,YES
KIAA0825,Unknown,YES
KIAA0895,Unknown,YES
KIAA1549L,Unknown,YES
KIAA1958,Unknown,YES
KIAA2012,Unknown,YES
KIF3A,YES,YES
KIF6,YES,YES
KIF9,Unknown,YES
KIF14,YES,YES
KIF17,YES,YES
KIF19,YES,YES
KIF21A,Unknown,YES
KIF24,YES,YES
KIF27,YES,YES
KIFAP3,Unknown,YES
KIZ,YES,YES
KLF12,Unknown,YES
KLHDC10,Unknown,YES
KLHL24,Unknown,YES
KLHL32,Unknown,YES
KLHL42,Unknown,YES
KMT2A,Unknown,YES
KMT2E,Unknown,YES
KNDC1,Unknown,YES
KNL1,Unknown,YES
KPNA3,Unknown,YES
KRT20,Unknown,YES
LARP1B,Unknown,YES
LAYN,Unknown,YES
LCA5,YES,YES
LCA5L,Unknown,YES
LCLAT1,Unknown,YES
LDHB,Unknown,YES
LDLRAD1,Unknown,YES
LDLRAD4,Unknown,YES
LEKR1,Unknown,YES
LETM2,Unknown,YES
LGALSL,Unknown,YES
LGMN,Unknown,YES
LGR4,Unknown,YES
LIMCH1,Unknown,YES
LKAAEAR1,Unknown,YES
LMBR1,Unknown,YES
LMLN,Unknown,YES
LMNTD1,Unknown,YES
LMO7,Unknown,YES
LMTK2,Unknown,YES
LMX1A,Unknown,YES
LNX1,Unknown,YES
LPIN1,Unknown,YES
LPP,Unknown,YES
LRBA,YES,YES
LRGUK,Unknown,YES
LRIG1,Unknown,YES
LRIT1,Unknown,YES
LRP1B,Unknown,YES
LRP2BP,Unknown,YES
LRRC1,Unknown,YES
LRRC9,Unknown,YES
LRRC10B,Unknown,YES
LRRC27,Unknown,YES
LRRC34,YES,YES
LRRC36,Unknown,YES
LRRC43,Unknown,YES
LRRC46,Unknown,YES
LRRC49,Unknown,YES
LRRC71,Unknown,YES
LRRC74B,Unknown,YES
LRRIQ1,Unknown,YES
LRRIQ3,Unknown,YES
LRRIQ4,Unknown,YES
LRTOMT,Unknown,YES
LTA4H,Unknown,YES
LTBP1,Unknown,YES
LTBP2,Unknown,YES
LYST,Unknown,YES
LZTFL1,YES,YES
MACF1,YES,YES
MACROD2,Unknown,YES
MAGI1,Unknown,YES
MAGI3,Unknown,YES
MAK,YES,YES
MAMDC2,Unknown,YES
MAML3,Unknown,YES
MAN1A1,Unknown,YES
MAN1C1,Unknown,YES
MANBA,Unknown,YES
MAP3K13,Unknown,YES
MAP3K19,Unknown,YES
MAP4K3,Unknown,YES
MAP4K5,Unknown,YES
MAP7,Unknown,YES
MAP9,Unknown,YES
MAPK10,Unknown,YES
MAPK14,Unknown,YES
MAPK15,YES,YES
MAPKAPK3,Unknown,YES
MARCHF1,Unknown,YES
MARK1,Unknown,YES
MARK2,Unknown,YES
MASP1,Unknown,YES
MB21D2,Unknown,YES
MBNL1,Unknown,YES
MBNL3,Unknown,YES
MBOAT1,Unknown,YES
MCHR1,YES,YES
MCIDAS,YES,YES
MCTP1,Unknown,YES
MCTP2,Unknown,YES
MCU,Unknown,YES
MDGA2,Unknown,YES
MDH1B,Unknown,YES
MDM1,YES,YES
MECOM,Unknown,YES
MED6,Unknown,YES
MED12L,Unknown,YES
MED13L,Unknown,YES
MED23,Unknown,YES
MEF2A,Unknown,YES
MEOX2,Unknown,YES
MET,Unknown,YES
METTL15P1,Unknown,YES
MFAP4,Unknown,YES
MGST3,Unknown,YES
MICU1,Unknown,YES
MID2,Unknown,YES
MINDY4,Unknown,YES
MIPEP,Unknown,YES
MIPOL1,Unknown,YES
MITF,Unknown,YES
MLF1,YES,YES
MLLT3,Unknown,YES
MLLT10,Unknown,YES
MNAT1,Unknown,YES
MNS1,YES,YES
MOB1B,Unknown,YES
MOB3B,Unknown,YES
MOK,YES,YES
MORN2,Unknown,YES
MORN3,Unknown,YES
MORN5,YES,YES
MPEG1,Unknown,YES
MPHOSPH9,YES,YES
MPRIP,Unknown,YES
MPZL3,Unknown,YES
MRPL19,Unknown,YES
MRPL38,Unknown,YES
MRPS6,Unknown,YES
MRPS9,Unknown,YES
MRPS24,Unknown,YES
MSH2,Unknown,YES
MSI2,Unknown,YES
MSN,Unknown,YES
MSRB2,Unknown,YES
MTHFSD,Unknown,YES
MTM1,Unknown,YES
MTMR7,Unknown,YES
MTRF1,Unknown,YES
MVB12B,Unknown,YES
MYB,YES,YES
MYCBP,Unknown,YES
MYCBPAP,Unknown,YES
MYEF2,Unknown,YES
MYL6,Unknown,YES
MYLK,Unknown,YES
MYLK3,Unknown,YES
MYO1B,Unknown,YES
MYO1D,Unknown,YES
MYO1H,Unknown,YES
MYO5C,Unknown,YES
MYO6,Unknown,YES
MYO9A,Unknown,YES
MYOF,Unknown,YES
MYRIP,Unknown,YES
N4BP2L2,Unknown,YES
NAALADL2,Unknown,YES
NANOS3,Unknown,YES
NASP,Unknown,YES
NAV2,Unknown,YES
NAV3,Unknown,YES
NBAS,Unknown,YES
NBEA,Unknown,YES
NBEAL1,Unknown,YES
NCALD,Unknown,YES
NCKAP5,Unknown,YES
NCOA2,Unknown,YES
NCS1,Unknown,YES
NDUFS7,Unknown,YES
NEBL,Unknown,YES
NEDD4L,Unknown,YES
NEDD9,YES,YES
NEGR1,Unknown,YES
NEK3,YES,YES
NEK5,Unknown,YES
NEK8,YES,YES
NEK10,YES,YES
NEK11,Unknown,YES
NELL1,Unknown,YES
NELL2,Unknown,YES
NETO2,Unknown,YES
NF1,Unknown,YES
NFIA,Unknown,YES
NFKBIA,Unknown,YES
NHSL1,Unknown,YES
NID2,Unknown,YES
NIPA2,Unknown,YES
NIPAL2,Unknown,YES
NIPSNAP1,Unknown,YES
NLGN3,Unknown,YES
NME5,YES,YES
NME7,YES,YES
