gene	set.1.n.umi	set.2.n.umi	set.1.tpm	set.2.tpm	higher.expr	log2.ratio	precision1	precision2	pct.1	pct.2	f.score	p.val	q.val
F36H9.10	2	4	5.68938067907854	0.137083865344047	Set 1	2.32293295187486	0.333333333333333	0.666666666666667	0.001743679163034	9.78282136568186e-05	0.00346921075455334	0.0526624104490425	0.116296445927645
F57H12.5	7	50	20.1752637426432	3.76482078001054	Set 1	2.08209367742312	0.102040816326531	0.897959183673469	0.004359197907585	0.001076110350225	0.00836120401337793	0.0526832102856135	0.116327030415609
R11G1.1	5	298	6.23808154846755	21.7622435292949	Set 2	1.58814802847656	0.0111111111111111	0.988888888888889	0.001743679163034	0.00435335550772843	0.00866854972241161	0.0527540860540709	0.11646816228558
rpl-27	366	56865	1104.28293015402	1262.29707820438	Set 2	0.191635766912468	0.0121353447865607	0.987864655213439	0.222319093286835	0.50767951477206	0.67068383386375	0.0527983110675549	0.116550426317287
M02G9.3	0	110	0	5.06385785913802	Set 2	2.34023690934865	0	1	0	0.00154079436509489	0.00307684794022124	0.0529671911210617	0.116907804008072
nhr-122	0	167	0	4.71944361730397	Set 2	2.23861678800454	0	1	0	0.00339953042457445	0.00677602554415385	0.0530197110925259	0.117008294377058
F22D6.15	4	657	26.761649152541	12.463334358424	Set 1	0.991131267797197	0.00904977375565611	0.990950226244344	0.001743679163034	0.00535609469771082	0.00292397660818713	0.0530374085537426	0.11703191917785
spl-1	18	1587	36.6471012794278	25.5761507956936	Set 1	0.463566923828873	0.00721649484536083	0.992783505154639	0.00610287707061901	0.0235521424378791	0.00661313179026925	0.053063997342688	0.117075154696094
R11A5.6	0	155	0	4.25405580735286	Set 2	2.08883895959457	0	1	0	0.0021033065936216	0.00419778396056036	0.0530730530509405	0.117079700660813
K05F1.5	6	3734	21.1644189095518	49.1889092905677	Set 2	1.15008752577518	0.00245800901269971	0.9975419909873	0.00523103748910201	0.0595529250635883	0.112395854970112	0.0531009812651486	0.117125872882814
dmsr-8	1	486	7.78428197783036	21.8933669485018	Set 2	1.31749757041578	0.00342465753424658	0.996575342465753	0.000871839581517001	0.00711700254353355	0.0141330743079165	0.0531608360619409	0.117242444744855
Y56A3A.19	5	1938	14.7699863776766	31.8798273849505	Set 2	1.01546240388936	0.00490196078431373	0.995098039215686	0.004359197907585	0.0248239092154177	0.0484394387706405	0.0531704342545184	0.117248163124885
srg-11	4	7	7.26403346879438	0.36076866746853	Set 1	2.4163490222539	0.3	0.7	0.002615518744551	0.000171199373899433	0.00518582541054451	0.0532833815342973	0.117481749010609
tsp-11	3	1426	5.1233151419911	18.6026988728596	Set 2	1.60312710246576	0.00264084507042254	0.997359154929577	0.002615518744551	0.0277098415182939	0.053921568627451	0.05331594108826	0.117538054003452
T10B11.8	2	2131	9.10670188541088	25.8593820912225	Set 2	1.35537552228199	0.00179533213644524	0.998204667863555	0.001743679163034	0.0271962433965956	0.0529498595304985	0.05339735590969	0.11770203422369
F21A3.11	4	14	10.0500239944323	0.783648741664496	Set 1	2.49429551098423	0.0833333333333333	0.916666666666667	0.000871839581517001	0.000269027587556251	0.00172562553925798	0.0534535681102116	0.117810425264763
nas-10	3	12	13.3040744551181	0.924124202263342	Set 1	2.78959431445436	0.166666666666667	0.833333333333333	0.001743679163034	0.000244570534142047	0.00345125107851596	0.0535130817369574	0.117926063071949
twk-2	56	1324	165.779912992747	107.035069258314	Set 1	0.61776950922793	0.0351317440401506	0.964868255959849	0.024411508282476	0.0188074740755234	0.0288065843621399	0.0535841969772518	0.118065791083847
srx-76	2	20	3.46859704791786	0.38395183080866	Set 1	1.32555852026037	0.0952380952380952	0.904761904761905	0.001743679163034	0.000464684014869888	0.00342465753424658	0.0535913762366185	0.118065791083847
W02D3.12	0	189	0	4.68751118239979	Set 2	2.22882213215422	0	1	0	0.00427998434748581	0.00852348829846821	0.0535976507531261	0.118065791083847
