Gene_name|Publication|Pub_number
BBS4|Bechstedt et al.|5
BBS4|Alexander E. Ivliev et al|8
BBS4|Cilia Carta (TJP van Dam et al.)|13
BBS4|Dey G et al.|14
BBS4|GO CC Cilium|15
BBS4|Karsten Boldt et al.|16
BBS4|Lambacher N. et al.|17
BBS4|Li et al.|18
BBS4|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS4|David K. Breslow et al.|25
BBS4|Liu et al.|28
BBS4|McClintock et al.|29
BBS4|Monika-Abedin-Sigg et al.|30
BBS4|Geremek M. et al. 2011|41
BBS4|Nogales-Cadenas R. et al.|46
BBS4|Fritz-Laylin L.K. et Cande|49
BBS4|Arnaiz O. et al.|53
BBS5|Efimenko et al.|2
BBS5|Phirke et al.|3
BBS5|Laurençon et al.|7
BBS5|Alexander E. Ivliev et al|8
BBS5|Chen et al.|12
BBS5|Cilia Carta (TJP van Dam et al.)|13
BBS5|Dey G et al.|14
BBS5|GO CC Cilium|15
BBS5|Karsten Boldt et al.|16
BBS5|Lambacher N. et al.|17
BBS5|Li et al.|18
BBS5|Ross et al.|22
BBS5|SYSCILIA Gold Standard (van Dam TJ et al.)|24
BBS5|David K. Breslow et al.|25
BBS5|Liu et al.|28
BBS5|McClintock et al.|29
BBS5|Monika-Abedin-Sigg et al.|30
BBS5|Ramona A. Hoh et al.|31
BBS5|Merchant et al.|35
BBS5|Geremek M. et al. 2011|41
BBS5|Geremek M. et al. 2014|42
BBS5|Nogales-Cadenas R. et al.|46
BBS5|Fritz-Laylin L.K. et Cande|49
BBS5|Hodges ME. et al.|38
