HGNC ID	Status	Approved symbol	Alias symbol	Previous symbol
HGNC:10877	Approved	SIGLEC8	SIGLEC-8	
HGNC:10877	Approved	SIGLEC8	SAF2	
HGNC:10877	Approved	SIGLEC8	SIGLEC8L	
HGNC:10877	Approved	SIGLEC8	MGC59785	
HGNC:10878	Approved	SIGLEC9	CD329	
HGNC:15620	Approved	SIGLEC10	SIGLEC-10	
HGNC:15620	Approved	SIGLEC10	SLG2	
HGNC:15620	Approved	SIGLEC10	PRO940	
HGNC:15620	Approved	SIGLEC10	MGC126774	
HGNC:40719	Approved	SIGLEC10-AS1		
HGNC:15622	Approved	SIGLEC11		
HGNC:15482	Approved	SIGLEC12	SLG	SIGLECL1
HGNC:15482	Approved	SIGLEC12	S2V	SIGLECL1
HGNC:15482	Approved	SIGLEC12	Siglec-XII	SIGLECL1
HGNC:15482	Approved	SIGLEC12	Siglec-12	SIGLECL1
HGNC:15482	Approved	SIGLEC12	Siglec-L1	SIGLECL1
HGNC:32926	Approved	SIGLEC14		
HGNC:27596	Approved	SIGLEC15	HsT1361	CD33L3
HGNC:24851	Approved	SIGLEC16	Siglec-P16	SIGLECP16
HGNC:15604	Approved	SIGLEC17P		SIGLECP3
HGNC:15491	Approved	SIGLEC18P		SIGLECP1
HGNC:15609	Approved	SIGLEC20P		SIGLECP4
HGNC:15610	Approved	SIGLEC21P		SIGLECP5
HGNC:15611	Approved	SIGLEC22P		SIGLECP6
HGNC:15613	Approved	SIGLEC24P		SIGLECP8
HGNC:15614	Approved	SIGLEC25P		SIGLECP9
HGNC:15615	Approved	SIGLEC26P		SIGLECP10
HGNC:15617	Approved	SIGLEC27P		SIGLECP11
HGNC:15618	Approved	SIGLEC28P		SIGLECP12
HGNC:15619	Approved	SIGLEC29P		SIGLECP13
HGNC:15623	Approved	SIGLEC30P		SIGLECP14
HGNC:16072	Approved	SIGLEC31P		SIGLECP15
HGNC:26856	Approved	SIGLECL1	FLJ40235	C19orf75
HGNC:26856	Approved	SIGLECL1	FLJ40235	SIGLEC23P
HGNC:26856	Approved	SIGLECL1	FLJ40235	SIGLECP7
HGNC:8157	Approved	SIGMAR1	SR-BP1	OPRS1
HGNC:11142	Approved	SIK1	msk	SNF1LK
HGNC:52389	Entry Withdrawn	SIK1B		
HGNC:21680	Approved	SIK2	KIAA0781	SNF1LK2
HGNC:21680	Approved	SIK2	QIK	SNF1LK2
HGNC:21680	Approved	SIK2	DKFZp434K1115	SNF1LK2
HGNC:21680	Approved	SIK2	LOH11CR1I	SNF1LK2
HGNC:29165	Approved	SIK3	FLJ12240	
HGNC:29165	Approved	SIK3	L19	
HGNC:29165	Approved	SIK3	KIAA0999	
HGNC:29165	Approved	SIK3	QSK	
HGNC:41495	Approved	SIK3-IT1		
HGNC:26119	Approved	SIKE1	FLJ21168	
HGNC:26119	Approved	SIKE1	SIKE	
HGNC:24624	Approved	SIL1	BAP	MSS
HGNC:24624	Approved	SIL1	ULG5	MSS
HGNC:26403	Approved	SILC1	FLJ30594	LINC01105
HGNC:26403	Approved	SILC1	LOC150622	LINC01105
HGNC:10882	Approved	SIM1	bHLHe14	
HGNC:40530	Approved	SIM1-AS1		
HGNC:10883	Approved	SIM2	MGC119447	SIM
HGNC:10883	Approved	SIM2	bHLHe15	SIM
HGNC:24779	Approved	SIMC1	FLJ44216	C5orf25
HGNC:24779	Approved	SIMC1	OOMA1	C5orf25
HGNC:24779	Approved	SIMC1	PLEIAD	C5orf25
HGNC:19353	Approved	SIN3A	KIAA0700	
HGNC:19353	Approved	SIN3A	DKFZP434K2235	
HGNC:19354	Approved	SIN3B	KIAA0700	
HGNC:30702	Approved	SINHCAF	TERA	C12orf14
HGNC:30702	Approved	SINHCAF	TERA	FAM60A
HGNC:19052	Approved	SINHCAFP1	HsT2323	FAM60BP
HGNC:31737	Approved	SINHCAFP2		FAM60CP
HGNC:19896	Approved	SINHCAFP3		FAM60DP
HGNC:10885	Approved	SIPA1	SPA1	
HGNC:20284	Approved	SIPA1L1	KIAA0440	
HGNC:20284	Approved	SIPA1L1	E6TP1	
HGNC:20284	Approved	SIPA1L1	SPAR1	
HGNC:55432	Approved	SIPA1L1-AS1		
HGNC:23800	Approved	SIPA1L2	KIAA1389	
HGNC:23800	Approved	SIPA1L2	SPAR2	
HGNC:23801	Approved	SIPA1L3	KIAA0545	
HGNC:23801	Approved	SIPA1L3	SPAR3	
HGNC:53902	Approved	SIRLNT	lncRNA-PRLB	
HGNC:9662	Approved	SIRPA	SHPS1	PTPNS1
HGNC:9662	Approved	SIRPA	SIRP	PTPNS1
HGNC:9662	Approved	SIRPA	MYD-1	PTPNS1
HGNC:9662	Approved	SIRPA	BIT	PTPNS1
HGNC:9662	Approved	SIRPA	P84	PTPNS1
HGNC:9662	Approved	SIRPA	SHPS-1	PTPNS1
HGNC:9662	Approved	SIRPA	SIRPalpha	PTPNS1
HGNC:9662	Approved	SIRPA	CD172a	PTPNS1
HGNC:9662	Approved	SIRPA	SIRPalpha2	PTPNS1
HGNC:9662	Approved	SIRPA	MFR	PTPNS1
HGNC:9662	Approved	SIRPA	SIRP-ALPHA-1	PTPNS1
HGNC:9663	Approved	SIRPAP1	SIRPA2P	PTPNS1L
HGNC:15928	Approved	SIRPB1	SIRP-BETA-1	
HGNC:15928	Approved	SIRPB1	CD172b	
HGNC:16247	Approved	SIRPB2	dJ776F14.2	PTPN1L
HGNC:16247	Approved	SIRPB2	dJ776F14.2	PTPNS1L3
HGNC:49209	Approved	SIRPB3P		
HGNC:16248	Approved	SIRPD	dJ576H24.4	PTPNS1L2
HGNC:15757	Approved	SIRPG	bA77C3.1	SIRPB2
HGNC:15757	Approved	SIRPG	SIRP-B2	SIRPB2
HGNC:15757	Approved	SIRPG	SIRPgamma	SIRPB2
HGNC:15757	Approved	SIRPG	CD172g	SIRPB2
HGNC:51229	Approved	SIRPG-AS1		
HGNC:14929	Approved	SIRT1	SIR2L1	
HGNC:51912	Approved	SIRT1-AS		
HGNC:10886	Approved	SIRT2		SIR2L
HGNC:14931	Approved	SIRT3	SIR2L3	
HGNC:14932	Approved	SIRT4	SIR2L4	
HGNC:14933	Approved	SIRT5		
HGNC:14934	Approved	SIRT6		
HGNC:14935	Approved	SIRT7		
HGNC:17710	Approved	SIT1	SIT	
HGNC:17712	Approved	SIVA1	SIVA	
HGNC:17712	Approved	SIVA1	Siva-1	
HGNC:17712	Approved	SIVA1	Siva-2	
HGNC:17712	Approved	SIVA1	CD27BP	
HGNC:10887	Approved	SIX1		DFNA23
HGNC:10888	Approved	SIX2		
HGNC:10889	Approved	SIX3		HPE2
HGNC:40532	Approved	SIX3-AS1	SIX3OS	
HGNC:10890	Approved	SIX4	AREC3	
HGNC:10891	Approved	SIX5		DMAHP
HGNC:10892	Approved	SIX6	Six9	OPTX2
HGNC:28109	Approved	SKA1	MGC10200	C18orf24
HGNC:28006	Approved	SKA2	FLJ12758	FAM33A
HGNC:23122	Approved	SKA2P1	Em:AC006313.1	FAM33B
HGNC:23122	Approved	SKA2P1	Em:AC006313.1	SKA2L
HGNC:20262	Approved	SKA3	MGC4832	C13orf3
HGNC:20262	Approved	SKA3	RAMA1	C13orf3
